value,corpora,blended_skill_talk/f1,empathetic_dialogues/f1,wizard_of_internet/f1,wizard_of_wikipedia/f1,model
0.12910529598593712,TDEC,0.12940680980682373,0.11223812401294708,0.14600950479507446,0.1287667453289032,350M
0.12916089221835136,TDEC,0.14144188165664673,0.10603713989257812,0.13689275085926056,0.13227179646492004,350M
0.12423050031065941,TDEC,0.13013781607151031,0.10304297506809235,0.1341647207736969,0.12957648932933807,350M
0.12410325929522514,TDEC,0.13003025949001312,0.10523195564746857,0.13189586997032166,0.12925495207309723,350M
0.12294456548988819,TDEC,0.12341074645519257,0.10874154418706894,0.14142002165317535,0.1182059496641159,350M
0.12514050863683224,TDEC,0.12878447771072388,0.10725536197423935,0.1360357105731964,0.1284864842891693,350M
0.11736022308468819,TDEC,0.11886461824178696,0.1020604819059372,0.1285633146762848,0.1199524775147438,350M
0.11966503784060478,TDEC,0.11679263412952423,0.10442938655614853,0.13776127994060516,0.1196768507361412,350M
0.12961888313293457,TDEC,0.13003017008304596,0.11460930109024048,0.1401173323392868,0.13371872901916504,350M
0.12207522802054882,TDEC,0.11822612583637238,0.10965468734502792,0.13629832863807678,0.1241217702627182,350M
0.1230423990637064,TDEC,0.12268487364053726,0.10994701087474823,0.13501408696174622,0.12452362477779388,350M
0.12248319201171398,TDEC,0.1223512664437294,0.10528676211833954,0.14029790461063385,0.12199683487415314,350M
0.12220229022204876,TDEC,0.12160012871026993,0.10659226030111313,0.14117315411567688,0.1194436177611351,350M
0.1183211151510477,TDEC,0.11525437980890274,0.1072436198592186,0.1317247748374939,0.11906168609857559,350M
0.1237188819795847,TDEC,0.1232432872056961,0.1092127338051796,0.13951759040355682,0.12290191650390625,350M
0.12641237676143646,TDEC,0.13288426399230957,0.10948862880468369,0.13930284976959229,0.12397376447916031,350M
0.12230615876615047,TDEC,0.12156031280755997,0.11055336892604828,0.1385529786348343,0.11855797469615936,350M
0.1189070101827383,TDEC,0.11455340683460236,0.10573731362819672,0.13280445337295532,0.12253286689519882,350M
0.1235557571053505,TDEC,0.12587514519691467,0.11530113220214844,0.136958047747612,0.11608870327472687,350M
